pclass,sex_male,sex_female,age,sibsp,parch,fare,embarked_C,embarked_S,embarked_Q,embarked_
2.0,1.0,0.0,54.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,39.0,1.0,1.0,83.1583,1.0,0.0,0.0,0.0
3.0,1.0,0.0,28.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,27.64091310175496,0.0,0.0,8.05,0.0,1.0,0.0,0.0
1.0,1.0,0.0,32.5,0.0,0.0,211.5,1.0,0.0,0.0,0.0
2.0,1.0,0.0,8.0,1.0,1.0,36.75,0.0,1.0,0.0,0.0
3.0,1.0,0.0,16.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
2.0,1.0,0.0,0.6667,1.0,1.0,14.5,0.0,1.0,0.0,0.0
1.0,0.0,1.0,45.0,0.0,1.0,59.4,1.0,0.0,0.0,0.0
3.0,1.0,0.0,19.00642630528597,2.0,0.0,21.6792,1.0,0.0,0.0,0.0
3.0,1.0,0.0,74.0,0.0,0.0,7.775,0.0,1.0,0.0,0.0
3.0,0.0,1.0,16.0,5.0,2.0,46.9,0.0,1.0,0.0,0.0
1.0,1.0,0.0,57.0,1.0,0.0,146.5208,1.0,0.0,0.0,0.0
3.0,1.0,0.0,29.0,0.0,0.0,7.775,0.0,1.0,0.0,0.0
3.0,1.0,0.0,22.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,0.0,1.0,27.23863704598446,0.0,0.0,8.1375,0.0,0.0,1.0,0.0
1.0,0.0,1.0,43.0,0.0,1.0,211.3375,0.0,1.0,0.0,0.0
3.0,1.0,0.0,20.0,0.0,0.0,7.8542,0.0,1.0,0.0,0.0
2.0,1.0,0.0,18.0,0.0,0.0,73.5,0.0,1.0,0.0,0.0
2.0,1.0,0.0,30.0,1.0,0.0,21.0,0.0,1.0,0.0,0.0
2.0,0.0,1.0,30.0,3.0,0.0,21.0,0.0,1.0,0.0,0.0
3.0,0.0,1.0,21.0,0.0,0.0,7.75,0.0,0.0,1.0,0.0
1.0,1.0,0.0,48.0,1.0,0.0,52.0,0.0,1.0,0.0,0.0
3.0,0.0,1.0,17.0,4.0,2.0,7.925,0.0,1.0,0.0,0.0
3.0,1.0,0.0,29.0,1.0,0.0,7.0458,0.0,1.0,0.0,0.0
2.0,1.0,0.0,30.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
3.0,0.0,1.0,28.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
3.0,1.0,0.0,28.0,0.0,0.0,9.5,0.0,1.0,0.0,0.0
1.0,1.0,0.0,41.0,0.0,0.0,30.5,0.0,1.0,0.0,0.0
3.0,0.0,1.0,20.59414253786474,1.0,2.0,23.45,0.0,1.0,0.0,0.0
1.0,1.0,0.0,71.0,0.0,0.0,49.5042,1.0,0.0,0.0,0.0
1.0,0.0,1.0,28.0,3.0,2.0,263.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,1.0,4.0,1.0,39.6875,0.0,1.0,0.0,0.0
1.0,1.0,0.0,42.448317877314494,0.0,0.0,50.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,70.5,0.0,0.0,7.75,0.0,0.0,1.0,0.0
3.0,1.0,0.0,10.0,4.0,1.0,29.125,0.0,0.0,1.0,0.0
3.0,1.0,0.0,28.0,0.0,0.0,7.8542,0.0,1.0,0.0,0.0
1.0,0.0,1.0,50.0,0.0,0.0,28.7125,1.0,0.0,0.0,0.0
1.0,1.0,0.0,56.0,0.0,0.0,35.5,1.0,0.0,0.0,0.0
3.0,0.0,1.0,27.236733262610667,0.0,0.0,7.8792,0.0,0.0,1.0,0.0
2.0,0.0,1.0,18.0,1.0,1.0,13.0,0.0,1.0,0.0,0.0
2.0,1.0,0.0,44.0,1.0,0.0,26.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,22.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,10.0,3.0,2.0,27.9,0.0,1.0,0.0,0.0
1.0,0.0,1.0,58.0,0.0,1.0,512.3292,1.0,0.0,0.0,0.0
3.0,0.0,1.0,45.0,0.0,1.0,14.4542,1.0,0.0,0.0,0.0
3.0,1.0,0.0,25.0,0.0,0.0,7.05,0.0,1.0,0.0,0.0
2.0,0.0,1.0,33.0,0.0,2.0,26.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,44.0,0.0,1.0,57.9792,1.0,0.0,0.0,0.0
3.0,1.0,0.0,33.0,0.0,0.0,7.8542,0.0,1.0,0.0,0.0
3.0,1.0,0.0,24.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
3.0,0.0,1.0,15.0,0.0,0.0,7.225,1.0,0.0,0.0,0.0
3.0,0.0,1.0,36.0,1.0,0.0,17.4,0.0,1.0,0.0,0.0
3.0,1.0,0.0,39.0,1.0,5.0,31.275,0.0,1.0,0.0,0.0
3.0,1.0,0.0,41.0,0.0,0.0,7.125,0.0,1.0,0.0,0.0
1.0,1.0,0.0,52.0,1.0,1.0,79.65,0.0,1.0,0.0,0.0
3.0,1.0,0.0,27.997979724171113,0.0,0.0,56.4958,0.0,1.0,0.0,0.0
3.0,1.0,0.0,27.64091310175496,0.0,0.0,8.05,0.0,1.0,0.0,0.0
2.0,0.0,1.0,50.0,0.0,0.0,10.5,0.0,1.0,0.0,0.0
1.0,0.0,1.0,50.0,0.0,1.0,247.5208,1.0,0.0,0.0,0.0
2.0,0.0,1.0,24.0,2.0,1.0,27.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,27.997979724171113,0.0,0.0,56.4958,0.0,1.0,0.0,0.0
3.0,1.0,0.0,23.59073018209233,1.0,2.0,23.45,0.0,1.0,0.0,0.0
1.0,0.0,1.0,18.0,1.0,0.0,60.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,36.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
3.0,1.0,0.0,45.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,0.0,1.0,0.1667,1.0,2.0,20.575,0.0,1.0,0.0,0.0
3.0,0.0,1.0,15.0,1.0,0.0,14.4542,1.0,0.0,0.0,0.0
1.0,0.0,1.0,27.0,1.0,1.0,247.5208,1.0,0.0,0.0,0.0
3.0,0.0,1.0,9.0,1.0,1.0,15.2458,1.0,0.0,0.0,0.0
3.0,1.0,0.0,1.0,5.0,2.0,46.9,0.0,1.0,0.0,0.0
1.0,1.0,0.0,45.0,0.0,0.0,26.55,0.0,1.0,0.0,0.0
1.0,1.0,0.0,43.71440531410671,0.0,0.0,221.7792,0.0,1.0,0.0,0.0
1.0,1.0,0.0,49.0,1.0,0.0,56.9292,1.0,0.0,0.0,0.0
3.0,0.0,1.0,30.5,0.0,0.0,7.75,0.0,0.0,1.0,0.0
3.0,1.0,0.0,27.64091310175496,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,0.0,1.0,36.0,0.0,2.0,12.1833,0.0,1.0,0.0,0.0
1.0,1.0,0.0,50.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,38.0,0.0,0.0,80.0,0.0,0.0,0.0,1.0
3.0,1.0,0.0,30.23236864662961,0.0,0.0,7.75,0.0,0.0,1.0,0.0
3.0,1.0,0.0,23.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
3.0,1.0,0.0,18.0,1.0,0.0,14.4542,1.0,0.0,0.0,0.0
2.0,0.0,1.0,2.0,1.0,1.0,26.0,0.0,1.0,0.0,0.0
1.0,1.0,0.0,32.0,0.0,0.0,30.5,1.0,0.0,0.0,0.0
1.0,0.0,1.0,33.0,1.0,0.0,53.1,0.0,1.0,0.0,0.0
3.0,1.0,0.0,4.0,3.0,2.0,27.9,0.0,1.0,0.0,0.0
2.0,1.0,0.0,42.0,1.0,1.0,32.5,0.0,1.0,0.0,0.0
3.0,1.0,0.0,21.0,0.0,0.0,7.775,0.0,1.0,0.0,0.0
2.0,1.0,0.0,19.0,0.0,0.0,10.5,0.0,1.0,0.0,0.0
1.0,1.0,0.0,36.0,0.0,1.0,512.3292,1.0,0.0,0.0,0.0
3.0,0.0,1.0,9.0,4.0,2.0,31.275,0.0,1.0,0.0,0.0
3.0,1.0,0.0,23.0,1.0,0.0,13.9,0.0,1.0,0.0,0.0
3.0,1.0,0.0,26.75697080946368,1.0,0.0,7.75,0.0,0.0,1.0,0.0
3.0,1.0,0.0,30.23236864662961,0.0,0.0,7.75,0.0,0.0,1.0,0.0
2.0,1.0,0.0,28.0,0.0,1.0,33.0,0.0,1.0,0.0,0.0
1.0,1.0,0.0,47.0,0.0,0.0,42.4,0.0,1.0,0.0,0.0
1.0,1.0,0.0,53.0,0.0,0.0,28.5,1.0,0.0,0.0,0.0
3.0,0.0,1.0,27.235781002402017,0.0,0.0,7.75,0.0,0.0,1.0,0.0
1.0,0.0,1.0,22.0,0.0,1.0,61.9792,1.0,0.0,0.0,0.0
3.0,1.0,0.0,17.0,0.0,0.0,8.6625,0.0,1.0,0.0,0.0
1.0,0.0,1.0,39.0,1.0,1.0,110.8833,1.0,0.0,0.0,0.0
3.0,1.0,0.0,31.0,0.0,0.0,7.7333,0.0,0.0,1.0,0.0
3.0,1.0,0.0,18.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,0.0,42.27548117535769,0.0,0.0,26.55,0.0,1.0,0.0,0.0
1.0,0.0,1.0,76.0,1.0,0.0,78.85,0.0,1.0,0.0,0.0
2.0,0.0,1.0,31.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0
1.0,1.0,0.0,45.0,1.0,0.0,83.475,0.0,1.0,0.0,0.0
3.0,1.0,0.0,39.0,0.0,0.0,24.15,0.0,1.0,0.0,0.0
1.0,1.0,0.0,48.0,0.0,0.0,26.55,0.0,1.0,0.0,0.0
1.0,1.0,0.0,60.0,1.0,1.0,79.2,1.0,0.0,0.0,0.0
2.0,1.0,0.0,60.0,1.0,1.0,39.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,24.0,0.0,0.0,69.3,1.0,0.0,0.0,0.0
3.0,1.0,0.0,20.5,0.0,0.0,7.25,0.0,1.0,0.0,0.0
2.0,1.0,0.0,36.0,0.0,0.0,10.5,0.0,1.0,0.0,0.0
1.0,1.0,0.0,30.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,25.0,1.0,0.0,17.8,0.0,1.0,0.0,0.0
1.0,1.0,0.0,35.0,0.0,0.0,512.3292,1.0,0.0,0.0,0.0
3.0,0.0,1.0,13.0,0.0,0.0,7.2292,1.0,0.0,0.0,0.0
2.0,0.0,1.0,36.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,24.0,0.0,0.0,7.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,22.14268451375073,1.0,1.0,22.3583,1.0,0.0,0.0,0.0
2.0,1.0,0.0,27.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
3.0,0.0,1.0,22.0,0.0,0.0,39.6875,0.0,1.0,0.0,0.0
2.0,0.0,1.0,20.0,0.0,0.0,36.75,0.0,1.0,0.0,0.0
3.0,1.0,0.0,29.0,0.0,0.0,7.925,0.0,1.0,0.0,0.0
3.0,1.0,0.0,24.2533465279668,1.0,0.0,19.9667,0.0,1.0,0.0,0.0
1.0,1.0,0.0,17.0,0.0,0.0,47.1,0.0,1.0,0.0,0.0
3.0,0.0,1.0,1.0,1.0,1.0,11.1333,0.0,1.0,0.0,0.0
1.0,1.0,0.0,6.0,0.0,2.0,134.5,1.0,0.0,0.0,0.0
3.0,1.0,0.0,33.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
3.0,1.0,0.0,34.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
2.0,0.0,1.0,14.0,1.0,0.0,30.0708,1.0,0.0,0.0,0.0
3.0,1.0,0.0,22.0,0.0,0.0,7.7958,0.0,1.0,0.0,0.0
2.0,1.0,0.0,25.0,1.0,0.0,26.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,30.23236864662961,0.0,0.0,7.75,0.0,0.0,1.0,0.0
2.0,1.0,0.0,48.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
3.0,0.0,1.0,20.59414253786474,1.0,2.0,23.45,0.0,1.0,0.0,0.0
3.0,1.0,0.0,21.0,0.0,0.0,7.925,0.0,1.0,0.0,0.0
3.0,1.0,0.0,19.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
1.0,0.0,1.0,64.0,0.0,2.0,83.1583,1.0,0.0,0.0,0.0
3.0,1.0,0.0,51.0,0.0,0.0,7.75,0.0,1.0,0.0,0.0
3.0,1.0,0.0,32.0,0.0,0.0,22.525,0.0,1.0,0.0,0.0
2.0,0.0,1.0,26.0,1.0,1.0,26.0,0.0,1.0,0.0,0.0
2.0,0.0,1.0,54.0,1.0,3.0,23.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,21.0,0.0,0.0,7.25,0.0,1.0,0.0,0.0
1.0,1.0,0.0,42.462045312597844,0.0,0.0,51.8625,0.0,1.0,0.0,0.0
1.0,1.0,0.0,41.97261010428488,0.0,0.0,227.525,1.0,0.0,0.0,0.0
1.0,1.0,0.0,36.0,1.0,2.0,120.0,0.0,1.0,0.0,0.0
3.0,0.0,1.0,23.81750403688493,1.0,0.0,15.5,0.0,0.0,1.0,0.0
3.0,1.0,0.0,24.0,0.0,0.0,7.775,0.0,1.0,0.0,0.0
3.0,0.0,1.0,16.0,0.0,0.0,7.65,0.0,1.0,0.0,0.0
1.0,1.0,0.0,55.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,36.0,1.0,0.0,15.55,0.0,1.0,0.0,0.0
3.0,1.0,0.0,33.0,0.0,0.0,7.775,0.0,1.0,0.0,0.0
1.0,1.0,0.0,34.0,0.0,0.0,26.55,0.0,1.0,0.0,0.0
3.0,0.0,1.0,24.644325457527373,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,40.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
3.0,1.0,0.0,39.0,0.0,0.0,7.925,0.0,1.0,0.0,0.0
3.0,0.0,1.0,22.0,0.0,0.0,8.9625,0.0,1.0,0.0,0.0
1.0,1.0,0.0,44.0,2.0,0.0,90.0,0.0,0.0,1.0,0.0
1.0,1.0,0.0,40.49996622517541,0.0,0.0,27.7208,1.0,0.0,0.0,0.0
3.0,1.0,0.0,20.0,0.0,0.0,8.6625,0.0,1.0,0.0,0.0
2.0,1.0,0.0,63.0,1.0,0.0,26.0,0.0,1.0,0.0,0.0
1.0,1.0,0.0,71.0,0.0,0.0,34.6542,1.0,0.0,0.0,0.0
3.0,0.0,1.0,27.235781002402017,0.0,0.0,7.75,0.0,0.0,1.0,0.0
1.0,1.0,0.0,24.0,0.0,0.0,79.2,1.0,0.0,0.0,0.0
2.0,1.0,0.0,28.0,0.0,0.0,10.5,0.0,1.0,0.0,0.0
2.0,0.0,1.0,4.0,2.0,1.0,39.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,22.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
3.0,1.0,0.0,17.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
3.0,1.0,0.0,27.639776580670027,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
2.0,1.0,0.0,37.503280117217685,0.0,0.0,10.7083,0.0,0.0,1.0,0.0
3.0,1.0,0.0,22.0,0.0,0.0,7.775,0.0,1.0,0.0,0.0
3.0,1.0,0.0,27.635016753713792,0.0,0.0,7.25,0.0,1.0,0.0,0.0
2.0,0.0,1.0,29.0,0.0,0.0,10.5,0.0,1.0,0.0,0.0
2.0,1.0,0.0,39.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,50.0,1.0,0.0,14.5,0.0,1.0,0.0,0.0
1.0,0.0,1.0,14.0,1.0,2.0,120.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,16.0,0.0,1.0,39.4,0.0,1.0,0.0,0.0
2.0,1.0,0.0,36.0,0.0,0.0,12.875,1.0,0.0,0.0,0.0
2.0,1.0,0.0,43.0,0.0,1.0,21.0,0.0,1.0,0.0,0.0
1.0,1.0,0.0,42.46305874741742,0.0,0.0,52.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,35.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
3.0,1.0,0.0,42.0,0.0,0.0,7.65,0.0,1.0,0.0,0.0
2.0,1.0,0.0,42.0,1.0,0.0,27.0,0.0,1.0,0.0,0.0
3.0,0.0,1.0,43.0,1.0,6.0,46.9,0.0,1.0,0.0,0.0
1.0,1.0,0.0,47.0,1.0,0.0,227.525,1.0,0.0,0.0,0.0
1.0,1.0,0.0,65.0,0.0,0.0,26.55,0.0,1.0,0.0,0.0
1.0,1.0,0.0,28.5,0.0,0.0,27.7208,1.0,0.0,0.0,0.0
3.0,0.0,1.0,27.236364740858097,0.0,0.0,7.8292,0.0,0.0,1.0,0.0
1.0,1.0,0.0,27.0,0.0,0.0,30.5,0.0,1.0,0.0,0.0
1.0,1.0,0.0,40.0,0.0,0.0,27.7208,1.0,0.0,0.0,0.0
3.0,0.0,1.0,24.644325457527373,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,21.0,0.0,0.0,7.8542,0.0,1.0,0.0,0.0
3.0,1.0,0.0,6.0,3.0,1.0,21.075,0.0,1.0,0.0,0.0
1.0,0.0,1.0,45.0,0.0,0.0,262.375,1.0,0.0,0.0,0.0
1.0,1.0,0.0,60.0,0.0,0.0,26.55,0.0,1.0,0.0,0.0
1.0,0.0,1.0,45.0,1.0,0.0,52.5542,0.0,1.0,0.0,0.0
3.0,1.0,0.0,25.0,0.0,0.0,9.5,0.0,1.0,0.0,0.0
3.0,1.0,0.0,23.0,0.0,0.0,7.8542,0.0,1.0,0.0,0.0
1.0,1.0,0.0,53.0,1.0,1.0,81.8583,0.0,1.0,0.0,0.0
3.0,1.0,0.0,26.5,0.0,0.0,7.225,1.0,0.0,0.0,0.0
3.0,1.0,0.0,25.85563232512949,0.0,0.0,7.8958,1.0,0.0,0.0,0.0
3.0,0.0,1.0,63.0,0.0,0.0,9.5875,0.0,1.0,0.0,0.0
3.0,1.0,0.0,26.0,0.0,0.0,7.775,0.0,1.0,0.0,0.0
3.0,1.0,0.0,44.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,22.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
1.0,1.0,0.0,21.0,0.0,1.0,61.3792,1.0,0.0,0.0,0.0
3.0,1.0,0.0,2.0,4.0,1.0,29.125,0.0,0.0,1.0,0.0
1.0,0.0,1.0,40.0,0.0,0.0,153.4625,0.0,1.0,0.0,0.0
2.0,0.0,1.0,19.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,27.0,1.0,0.0,14.4542,1.0,0.0,0.0,0.0
3.0,1.0,0.0,44.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,47.0,0.0,0.0,7.25,0.0,1.0,0.0,0.0
1.0,0.0,1.0,38.0,0.0,0.0,227.525,1.0,0.0,0.0,0.0
1.0,0.0,1.0,30.0,0.0,0.0,93.5,0.0,1.0,0.0,0.0
3.0,1.0,0.0,11.5,1.0,1.0,14.5,0.0,1.0,0.0,0.0
1.0,1.0,0.0,23.0,0.0,1.0,63.3583,1.0,0.0,0.0,0.0
2.0,0.0,1.0,18.0,0.0,2.0,13.0,0.0,1.0,0.0,0.0
2.0,0.0,1.0,40.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
3.0,0.0,1.0,14.002355711045787,3.0,1.0,25.4667,0.0,1.0,0.0,0.0
2.0,0.0,1.0,48.0,1.0,2.0,65.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,35.0,0.0,0.0,512.3292,1.0,0.0,0.0,0.0
2.0,1.0,0.0,3.0,1.0,1.0,18.75,0.0,1.0,0.0,0.0
3.0,1.0,0.0,16.0,0.0,0.0,9.5,0.0,1.0,0.0,0.0
3.0,1.0,0.0,25.0,0.0,0.0,7.225,1.0,0.0,0.0,0.0
3.0,0.0,1.0,24.644325457527373,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,14.0,0.0,0.0,9.225,0.0,1.0,0.0,0.0
2.0,1.0,0.0,33.15746940415001,0.0,0.0,15.05,1.0,0.0,0.0,0.0
2.0,1.0,0.0,34.0,1.0,0.0,21.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,-0.397277622196718,8.0,2.0,69.55,0.0,1.0,0.0,0.0
2.0,1.0,0.0,19.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
2.0,0.0,1.0,50.0,0.0,1.0,26.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,50.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,30.23236864662961,0.0,0.0,7.75,0.0,0.0,1.0,0.0
2.0,1.0,0.0,34.83068861216602,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,1.0,0.0,16.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,35.0,0.0,0.0,7.05,0.0,1.0,0.0,0.0
2.0,1.0,0.0,39.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,30.226472298588437,0.0,0.0,6.95,0.0,0.0,1.0,0.0
1.0,0.0,1.0,48.0,1.0,3.0,262.375,1.0,0.0,0.0,0.0
3.0,1.0,0.0,17.0,1.0,1.0,7.2292,1.0,0.0,0.0,0.0
3.0,0.0,1.0,10.0,5.0,2.0,46.9,0.0,1.0,0.0,0.0
2.0,0.0,1.0,40.0,0.0,0.0,15.75,0.0,1.0,0.0,0.0
3.0,1.0,0.0,42.0,0.0,0.0,8.6625,0.0,1.0,0.0,0.0
3.0,0.0,1.0,5.0,0.0,0.0,12.475,0.0,1.0,0.0,0.0
1.0,1.0,0.0,45.0,1.0,1.0,134.5,1.0,0.0,0.0,0.0
3.0,1.0,0.0,32.0,0.0,0.0,7.925,0.0,1.0,0.0,0.0
3.0,0.0,1.0,18.0,0.0,0.0,7.8792,0.0,0.0,1.0,0.0
1.0,1.0,0.0,26.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,46.0,0.0,0.0,79.2,1.0,0.0,0.0,0.0
3.0,0.0,1.0,31.0,0.0,0.0,7.8542,0.0,1.0,0.0,0.0
3.0,1.0,0.0,25.0,0.0,0.0,7.65,0.0,1.0,0.0,0.0
3.0,1.0,0.0,17.0,0.0,0.0,7.125,0.0,1.0,0.0,0.0
3.0,1.0,0.0,25.85068823729697,0.0,0.0,7.225,1.0,0.0,0.0,0.0
2.0,0.0,1.0,24.0,2.0,3.0,18.75,0.0,1.0,0.0,0.0
1.0,0.0,1.0,18.0,1.0,0.0,227.525,1.0,0.0,0.0,0.0
3.0,0.0,1.0,19.14609686952314,1.0,1.0,22.3583,1.0,0.0,0.0,0.0
3.0,0.0,1.0,23.81750403688493,1.0,0.0,15.5,0.0,0.0,1.0,0.0
3.0,0.0,1.0,15.0,0.0,0.0,8.0292,0.0,0.0,1.0,0.0
3.0,1.0,0.0,33.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,35.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,0.0,1.0,22.224927596240924,0.0,2.0,15.2458,1.0,0.0,0.0,0.0
3.0,0.0,1.0,35.0,0.0,0.0,7.75,0.0,0.0,1.0,0.0
